number,x,y,h,keyX,keyY,keyH
28613,5172.07,-2881.026,126.644,0,0,0
28563,5126.202,-2857.28,125.005,,,
28512,5077.02,-2843.879,123.523,,,
28463,5032.849,-2819.862,121.927,,,
28412,4993.792,-2786.608,120.185,,,
28362,4951.149,-2759.902,118.642,,,
28311,4903.524,-2741.745,116.868,,,
28261,4861.882,-2714.313,115.545,,,
28210,4814.034,-2696.927,114.408,,,
28160,4764.993,-2683.675,113.799,,,
28109,4713.918,-2682.156,113.704,,,
28058,4663.706,-2668.831,113.75,,,
28007,4613.03,-2664.057,113.953,,,
27956,4561.77,-2666.631,114.729,,,
27905,4511.245,-2659.266,115.91,,,
27854,4460.725,-2648.185,117.545,,,
27804,4411.657,-2636.477,119.556,,,
27753,4364.555,-2617.392,121.557,,,
27703,4313.755,-2612.982,123.566,,,
27653,4266.494,-2593.889,125.587,,,
27602,4215.659,-2589.059,127.684,,,
27551,4166.382,-2573.711,129.766,,,
27501,4119.737,-2554.838,131.539,,,
27451,4074.842,-2532.075,132.804,,,
27401,4031.505,-2505.408,133.552,,,
27350,3993.086,-2469.575,133.78,,,
27296,3948.64,-2438.381,133.944,,,
27195,3860.01,-2387.076,134.6,,,
