number,factH,Indent
20,134.183,979
21,134.168,979
22,134.153,994
23,134.138,987
24,134.134,983
25,134.074,1006
26,134.015,1003
27,133.999,983
28,133.985,981
29,133.969,994
30,133.954,999
31,133.947,986
32,133.943,979
33,133.930,972
34,133.912,976
35,133.889,967
36,133.859,963
37,133.826,941
38,133.788,931
39,133.763,932
40,133.744,929
41,133.697,927
42,133.642,908
43,133.583,902
44,133.523,919
45,133.450,917
46,133.373,916
47,133.291,918
48,133.203,905
49,133.111,915
50,133.014,930






















































































































































































































































































































































































































































